year,state,state_po,state_fips,state_cen,state_ic,office,district,stage,special,candidate,party,writein,candidatevotes,totalvotes,version
1996,"Arkansas","AR","05",71,42,"US Senate","statewide","gen","FALSE","Y. Tim Hutchinson","republican","FALSE",445942,846183,"20171011"
1978,"Arkansas","AR","05",71,42,"US Senate","statewide","gen","FALSE","John Graham Black","independent","FALSE",37211,517138,"20171011"
2010,"Arkansas","AR","05",71,42,"US Senate","Statewide","gen","FALSE","Trevor Drown","independent","FALSE",25234,779957,"20171011"
1980,"Arkansas","AR","05",71,42,"US Senate","statewide","gen","FALSE","Walter T. Mac McCarty","","TRUE",331,808812,"20171011"
1984,"Arkansas","AR","05",71,42,"US Senate","statewide","gen","FALSE","David Pryor","democrat","FALSE",502341,875956,"20171011"
1978,"Arkansas","AR","05",71,42,"US Senate","statewide","gen","FALSE","","","TRUE",113,517138,"20171011"
1986,"Arkansas","AR","05",71,42,"US Senate","statewide","gen","FALSE","Dale Bumpers","democrat","FALSE",433122,695487,"20171011"
1998,"Arkansas","AR","05",71,42,"US Senate","Statewide","gen","FALSE","","","TRUE",187,700831,"20171011"
1998,"Arkansas","AR","05",71,42,"US Senate","Statewide","gen","FALSE","Charley E. Heffley","reform","FALSE",18896,700831,"20171011"
2008,"Arkansas","AR","05",71,42,"US Senate","statewide","gen","FALSE","Mark L. Pryor","democrat","FALSE",804678,1011754,"20171011"
1978,"Arkansas","AR","05",71,42,"US Senate","statewide","gen","FALSE","David Pryor","democrat","FALSE",395506,517138,"20171011"
1992,"Arkansas","AR","05",71,42,"US Senate","Statewide","gen","FALSE","Dale Bumpers","democrat","FALSE",553635,920008,"20171011"
2014,"Arkansas","AR","05",71,42,"US Senate","statewide","gen","FALSE","Tom Cotton","republican","FALSE",478819,847505,"20171011"
2004,"Arkansas","AR","05",71,42,"US Senate","Statewide","gen","FALSE","Glen A. Schwarz","","TRUE",212,1039349,"20171011"
2016,"Arkansas","AR","05",71,42,"US Senate","statewide","gen","FALSE","John Boozman","republican","FALSE",661984,1107522,"20171011"
1992,"Arkansas","AR","05",71,42,"US Senate","Statewide","gen","FALSE","Mike Huckabee","republican","FALSE",366373,920008,"20171011"
2014,"Arkansas","AR","05",71,42,"US Senate","statewide","gen","FALSE","Mark L. Pryor","democrat","FALSE",334174,847505,"20171011"
2016,"Arkansas","AR","05",71,42,"US Senate","statewide","gen","FALSE","","","TRUE",1070,1107522,"20171011"
2002,"Arkansas","AR","05",71,42,"US Senate","statewide","gen","FALSE","Tim Hutchinson","republican","FALSE",370735,804121,"20171011"
1998,"Arkansas","AR","05",71,42,"US Senate","Statewide","gen","FALSE","Fay Boozman","republican","FALSE",295870,700831,"20171011"
2010,"Arkansas","AR","05",71,42,"US Senate","Statewide","gen","FALSE","John Boozman","republican","FALSE",451618,779957,"20171011"
