year,state,state_po,state_fips,state_cen,state_ic,office,district,stage,special,candidate,party,writein,candidatevotes,totalvotes,version
1994,"Delaware","DE","10",51,11,"US Senate","statewide","gen","FALSE","John C. Dierickx","libertarian","FALSE",3386,199000,"20171011"
1976,"Delaware","DE","10",51,11,"US Senate","statewide","gen","FALSE","John A. Massimilla","prohibition","FALSE",216,224795,"20171011"
2002,"Delaware","DE","10",51,11,"US Senate","statewide","gen","FALSE","Raymond T. Buranello","libertarian","FALSE",922,232314,"20171011"
2014,"Delaware","DE","10",51,11,"US Senate","statewide","gen","FALSE","Kevin Wade","republican","FALSE",98823,234038,"20171011"
2012,"Delaware","DE","10",51,11,"US Senate","statewide","gen","FALSE","Andrew Richard Groff","green","FALSE",3191,399606,"20171011"
1996,"Delaware","DE","10",51,11,"US Senate","statewide","gen","FALSE","Mark Jones","libertarian","FALSE",3340,275591,"20171011"
2002,"Delaware","DE","10",51,11,"US Senate","statewide","gen","FALSE","Joseph R. Biden Jr.","democrat","FALSE",135253,232314,"20171011"
2010,"Delaware","DE","10",51,11,"US Senate","Statewide","gen","TRUE","Samtra Devard","","TRUE",10,307402,"20171011"
2010,"Delaware","DE","10",51,11,"US Senate","Statewide","gen","TRUE","Christopher A. Coons","democrat","FALSE",174012,307402,"20171011"
1994,"Delaware","DE","10",51,11,"US Senate","statewide","gen","FALSE","William V. Roth, Jr.","republican","FALSE",111074,199000,"20171011"
2002,"Delaware","DE","10",51,11,"US Senate","statewide","gen","FALSE","Raymond J. Clatworthy","republican","FALSE",94793,232314,"20171011"
1982,"Delaware","DE","10",51,11,"US Senate","statewide","gen","FALSE","Lawrence D. Sullivan","libertarian","FALSE",653,190960,"20171011"
2012,"Delaware","DE","10",51,11,"US Senate","statewide","gen","FALSE","Alexander Pires","independent","FALSE",15300,399606,"20171011"
2002,"Delaware","DE","10",51,11,"US Senate","statewide","gen","FALSE","Robert E. Mattson","natural law","FALSE",350,232314,"20171011"
1996,"Delaware","DE","10",51,11,"US Senate","statewide","gen","FALSE","Joseph R. Biden Jr.","democrat","FALSE",165465,275591,"20171011"
2012,"Delaware","DE","10",51,11,"US Senate","statewide","gen","FALSE","Kevin Wade","republican","FALSE",115700,399606,"20171011"
1988,"Delaware","DE","10",51,11,"US Senate","statewide","gen","FALSE","William V. Roth, Jr.","republican","FALSE",151115,243493,"20171011"
1978,"Delaware","DE","10",51,11,"US Senate","statewide","gen","FALSE","James H. Baxter Jr.","republican","FALSE",66479,162072,"20171011"
1990,"Delaware","DE","10",51,11,"US Senate","statewide","gen","FALSE","","","TRUE",5,180157,"20171011"
2000,"Delaware","DE","10",51,11,"US Senate","statewide","gen","FALSE","J. Burke Morrison","libertarian","FALSE",1103,326993,"20171011"
1976,"Delaware","DE","10",51,11,"US Senate","statewide","gen","FALSE","Joseph F. McInerney","none","FALSE",437,224795,"20171011"
2000,"Delaware","DE","10",51,11,"US Senate","statewide","gen","FALSE","Mark E. Dankof","constitution","FALSE",1044,326993,"20171011"
2006,"Delaware","DE","10",51,11,"US Senate","statewide","gen","FALSE","William E. Morris","libertarian","FALSE",2671,242972,"20171011"
2010,"Delaware","DE","10",51,11,"US Senate","Statewide","gen","TRUE","James W. Rash","libertarian","FALSE",2101,307402,"20171011"
1990,"Delaware","DE","10",51,11,"US Senate","statewide","gen","FALSE","Lee Rosenbaum","libertarian","FALSE",2680,180157,"20171011"
1988,"Delaware","DE","10",51,11,"US Senate","statewide","gen","FALSE","S. B. Woo","democrat","FALSE",92378,243493,"20171011"
1994,"Delaware","DE","10",51,11,"US Senate","statewide","gen","FALSE","Charles M. Oberly","democrat","FALSE",84540,199000,"20171011"
2014,"Delaware","DE","10",51,11,"US Senate","statewide","gen","FALSE","Christopher A. Coons","democrat","FALSE",130655,234038,"20171011"
2014,"Delaware","DE","10",51,11,"US Senate","statewide","gen","FALSE","Andrew Groff","green","FALSE",4560,234038,"20171011"
2008,"Delaware","DE","10",51,11,"US Senate","statewide","gen","FALSE","Christine O'Donnell","republican","FALSE",140595,398134,"20171011"
2006,"Delaware","DE","10",51,11,"US Senate","statewide","gen","FALSE","Thomas R. Carper","democrat","FALSE",170567,242972,"20171011"
2000,"Delaware","DE","10",51,11,"US Senate","statewide","gen","FALSE","William V. Roth, Jr.","republican","FALSE",142891,326993,"20171011"
2000,"Delaware","DE","10",51,11,"US Senate","statewide","gen","FALSE","Robert Mattson","natural law","FALSE",389,326993,"20171011"
2016,"Florida","FL","12",59,43,"US Senate","statewide","gen","FALSE","Charles Frederick Tolbert","","TRUE",56,9301820,"20171011"
2016,"Florida","FL","12",59,43,"US Senate","statewide","gen","FALSE","Steven Machat","none","FALSE",26918,9301820,"20171011"
2010,"Florida","FL","12",59,43,"US Senate","Statewide","gen","FALSE","George Drake","","TRUE",13,5411106,"20171011"
2012,"Florida","FL","12",59,43,"US Senate","statewide","gen","FALSE","Bill Nelson","democrat","FALSE",4523451,8189946,"20171011"
1992,"Florida","FL","12",59,43,"US Senate","Statewide","gen","FALSE","Bill Grant","republican","FALSE",1716505,4962290,"20171011"
2010,"Florida","FL","12",59,43,"US Senate","Statewide","gen","FALSE","Bruce Ray Riggs","no party affiliation","FALSE",3647,5411106,"20171011"
1980,"Florida","FL","12",59,43,"US Senate","statewide","gen","FALSE","Andrea Baron","","TRUE",159,3528028,"20171011"
2006,"Florida","FL","12",59,43,"US Senate","statewide","gen","FALSE","Belinda Noah","none","FALSE",24880,4793534,"20171011"
2012,"Florida","FL","12",59,43,"US Senate","statewide","gen","FALSE","Naomi Craine","","TRUE",19,8189946,"20171011"
1976,"Florida","FL","12",59,43,"US Senate","statewide","gen","FALSE","Lawton Chiles","democrat","FALSE",1799518,2857534,"20171011"
1998,"Florida","FL","12",59,43,"US Senate","Statewide","gen","FALSE","Bob Graham","democrat","FALSE",2436407,3900162,"20171011"
1988,"Florida","FL","12",59,43,"US Senate","statewide","gen","FALSE","Connie Mack","republican","FALSE",2051071,4068209,"20171011"
2006,"Florida","FL","12",59,43,"US Senate","statewide","gen","FALSE","Bernard Senter","","TRUE",16,4793534,"20171011"
2016,"Florida","FL","12",59,43,"US Senate","statewide","gen","FALSE","Bradley Patrick","","TRUE",7,9301820,"20171011"
1980,"Florida","FL","12",59,43,"US Senate","statewide","gen","FALSE","Bill Gunter","democrat","FALSE",1705409,3528028,"20171011"
1994,"Florida","FL","12",59,43,"US Senate","statewide","gen","FALSE","Connie Mack","republican","FALSE",2895200,4106816,"20171011"
2000,"Florida","FL","12",59,43,"US Senate","statewide","gen","FALSE","Darrell L. McCormick","independent","FALSE",21664,5856731,"20171011"
1980,"Florida","FL","12",59,43,"US Senate","statewide","gen","FALSE","Paula Hawkins","republican","FALSE",1822460,3528028,"20171011"
2010,"Florida","FL","12",59,43,"US Senate","Statewide","gen","FALSE","Bernie DeCastro","constitution party of florida","FALSE",4792,5411106,"20171011"
2000,"Florida","FL","12",59,43,"US Senate","statewide","gen","FALSE","Bill Nelson","democrat","FALSE",2989487,5856731,"20171011"
2016,"Florida","FL","12",59,43,"US Senate","statewide","gen","FALSE","Patrick Murphy","democrat","FALSE",4122088,9301820,"20171011"
2004,"Florida","FL","12",59,43,"US Senate","Statewide","gen","FALSE","Peter Blass","","TRUE",16,7429894,"20171011"
2006,"Florida","FL","12",59,43,"US Senate","statewide","gen","FALSE","Floyd Ray Frazier","none","FALSE",16628,4793534,"20171011"
1992,"Florida","FL","12",59,43,"US Senate","Statewide","gen","FALSE","","","TRUE",220,4962290,"20171011"
2012,"Florida","FL","12",59,43,"US Senate","statewide","gen","FALSE","Robert Monroe","","TRUE",12,8189946,"20171011"
1982,"Florida","FL","12",59,43,"US Senate","statewide","gen","FALSE","","","TRUE",422,2653419,"20171011"
2010,"Florida","FL","12",59,43,"US Senate","Statewide","gen","FALSE","Bobbie Bean","no party affiliation","FALSE",4301,5411106,"20171011"
2010,"Florida","FL","12",59,43,"US Senate","Statewide","gen","FALSE","Sue Askeland","no party affiliation","FALSE",15340,5411106,"20171011"
2004,"Florida","FL","12",59,43,"US Senate","Statewide","gen","FALSE","Nancy Travis","","TRUE",27,7429894,"20171011"
1982,"Florida","FL","12",59,43,"US Senate","statewide","gen","FALSE","Van B. Poole","republican","FALSE",1015330,2653419,"20171011"
1986,"Florida","FL","12",59,43,"US Senate","statewide","gen","FALSE","","","TRUE",77,3429996,"20171011"
2000,"Florida","FL","12",59,43,"US Senate","statewide","gen","FALSE","Bill McCollum","republican","FALSE",2705348,5856731,"20171011"
2010,"Florida","FL","12",59,43,"US Senate","Statewide","gen","FALSE","Belinda Gail Quarterman-Noah","","TRUE",18,5411106,"20171011"
1994,"Florida","FL","12",59,43,"US Senate","statewide","gen","FALSE","Hugh E. Rodham","democrat","FALSE",1210577,4106816,"20171011"
1998,"Florida","FL","12",59,43,"US Senate","Statewide","gen","FALSE","Charlie Crist","republican","FALSE",1463755,3900162,"20171011"
2016,"Florida","FL","12",59,43,"US Senate","statewide","gen","FALSE","Paul Stanton","libertarian","FALSE",196956,9301820,"20171011"
1976,"Florida","FL","12",59,43,"US Senate","statewide","gen","FALSE","scatter","","FALSE",130,2857534,"20171011"
2006,"Florida","FL","12",59,43,"US Senate","statewide","gen","FALSE","Bill Nelson","democrat","FALSE",2890548,4793534,"20171011"
2010,"Florida","FL","12",59,43,"US Senate","Statewide","gen","FALSE","Carol Ann Joyce LaRosa","","TRUE",2,5411106,"20171011"
2010,"Florida","FL","12",59,43,"US Senate","Statewide","gen","FALSE","Lewis Jerome Armstrong","no party affiliation","FALSE",4443,5411106,"20171011"
2010,"Florida","FL","12",59,43,"US Senate","Statewide","gen","FALSE","Alexander Andrew Snitker","libertarian","FALSE",24850,5411106,"20171011"
2004,"Florida","FL","12",59,43,"US Senate","Statewide","gen","FALSE","Mark Stufft","","TRUE",119,7429894,"20171011"
2000,"Florida","FL","12",59,43,"US Senate","statewide","gen","FALSE","Willie Logan","independent","FALSE",80830,5856731,"20171011"
2016,"Florida","FL","12",59,43,"US Senate","statewide","gen","FALSE","Basil E. Dalack","none","FALSE",22236,9301820,"20171011"
1986,"Florida","FL","12",59,43,"US Senate","statewide","gen","FALSE","Paula Hawkins","republican","FALSE",1552376,3429996,"20171011"
2016,"Florida","FL","12",59,43,"US Senate","statewide","gen","FALSE","Howard Knepper","","TRUE",50,9301820,"20171011"
2016,"Florida","FL","12",59,43,"US Senate","statewide","gen","FALSE","Robert Samuel Kaplan","","TRUE",10,9301820,"20171011"
2004,"Florida","FL","12",59,43,"US Senate","Statewide","gen","FALSE","Mel Martinez","republican","FALSE",3672864,7429894,"20171011"
2010,"Florida","FL","12",59,43,"US Senate","Statewide","gen","FALSE","Robert Monroe","","TRUE",6,5411106,"20171011"
2016,"Florida","FL","12",59,43,"US Senate","statewide","gen","FALSE","Angela Marie Walls-Windhauser","","TRUE",37,9301820,"20171011"
1976,"Florida","FL","12",59,43,"US Senate","statewide","gen","FALSE","John Grady","republican","FALSE",1057886,2857534,"20171011"
2006,"Florida","FL","12",59,43,"US Senate","statewide","gen","FALSE","Brian Moore","none","FALSE",19695,4793534,"20171011"
1986,"Florida","FL","12",59,43,"US Senate","statewide","gen","FALSE","Bob Graham","democrat","FALSE",1877543,3429996,"20171011"
2006,"Florida","FL","12",59,43,"US Senate","statewide","gen","FALSE","Lawrence Scott","","TRUE",78,4793534,"20171011"
2016,"Florida","FL","12",59,43,"US Senate","statewide","gen","FALSE","Bruce Nathan","none","FALSE",52451,9301820,"20171011"
2010,"Florida","FL","12",59,43,"US Senate","Statewide","gen","FALSE","Rick Tyler","no party affiliation","FALSE",7397,5411106,"20171011"
2012,"Florida","FL","12",59,43,"US Senate","statewide","gen","FALSE","Bill Gaylor","none","FALSE",126079,8189946,"20171011"
2000,"Florida","FL","12",59,43,"US Senate","statewide","gen","FALSE","Joe Simonetta","natural law","FALSE",26087,5856731,"20171011"
2006,"Florida","FL","12",59,43,"US Senate","statewide","gen","FALSE","Roy Tanner","none","FALSE",15562,4793534,"20171011"
2016,"Florida","FL","12",59,43,"US Senate","statewide","gen","FALSE","Marco Rubio","republican","FALSE",4835191,9301820,"20171011"
2012,"Florida","FL","12",59,43,"US Senate","statewide","gen","FALSE","Chris Borgia","none","FALSE",82089,8189946,"20171011"
2010,"Florida","FL","12",59,43,"US Senate","Statewide","gen","FALSE","Piotr Blass","","TRUE",47,5411106,"20171011"
2010,"Florida","FL","12",59,43,"US Senate","Statewide","gen","FALSE","Howard Knepper","","TRUE",4,5411106,"20171011"
1994,"Florida","FL","12",59,43,"US Senate","statewide","gen","FALSE","","","TRUE",1039,4106816,"20171011"
2010,"Florida","FL","12",59,43,"US Senate","Statewide","gen","FALSE","Richard Lock","","TRUE",18,5411106,"20171011"
2010,"Florida","FL","12",59,43,"US Senate","Statewide","gen","FALSE","Charlie Crist","no party affiliation","FALSE",1607549,5411106,"20171011"
2010,"Florida","FL","12",59,43,"US Senate","Statewide","gen","FALSE","Marco Rubio","republican","FALSE",2645743,5411106,"20171011"
2012,"Florida","FL","12",59,43,"US Senate","statewide","gen","FALSE","Lionel Long","","TRUE",2,8189946,"20171011"
2012,"Florida","FL","12",59,43,"US Senate","statewide","gen","FALSE","Piotr Blass","","TRUE",9,8189946,"20171011"
1982,"Florida","FL","12",59,43,"US Senate","statewide","gen","FALSE","Lawton Chiles","democrat","FALSE",1637667,2653419,"20171011"
1988,"Florida","FL","12",59,43,"US Senate","statewide","gen","FALSE","Adam Straus","","TRUE",585,4068209,"20171011"
2012,"Florida","FL","12",59,43,"US Senate","statewide","gen","FALSE","Connie Mack","republican","FALSE",3458267,8189946,"20171011"
2000,"Florida","FL","12",59,43,"US Senate","statewide","gen","FALSE","","","TRUE",88,5856731,"20171011"
2000,"Florida","FL","12",59,43,"US Senate","statewide","gen","FALSE","Joel Deckard","reform","FALSE",17338,5856731,"20171011"
2016,"Florida","FL","12",59,43,"US Senate","statewide","gen","FALSE","Tony Khoury","none","FALSE",45820,9301820,"20171011"
2000,"Florida","FL","12",59,43,"US Senate","statewide","gen","FALSE","Andy Martin","independent","FALSE",15889,5856731,"20171011"
1992,"Florida","FL","12",59,43,"US Senate","Statewide","gen","FALSE","Bob Graham","democrat","FALSE",3245565,4962290,"20171011"
2012,"Florida","FL","12",59,43,"US Senate","statewide","gen","FALSE","Lawrence Sidney Scott","","TRUE",18,8189946,"20171011"
1988,"Florida","FL","12",59,43,"US Senate","statewide","gen","FALSE","Buddy MacKay","democrat","FALSE",2016553,4068209,"20171011"
2004,"Florida","FL","12",59,43,"US Senate","Statewide","gen","FALSE","Rachele Fruit","","TRUE",25,7429894,"20171011"
2004,"Florida","FL","12",59,43,"US Senate","Statewide","gen","FALSE","Betty Castor","democrat","FALSE",3590201,7429894,"20171011"
2006,"Florida","FL","12",59,43,"US Senate","statewide","gen","FALSE","Katherine Harris","republican","FALSE",1826127,4793534,"20171011"
2010,"Florida","FL","12",59,43,"US Senate","Statewide","gen","FALSE","Kendrick B. Meek","democrat","FALSE",1092936,5411106,"20171011"
2004,"Florida","FL","12",59,43,"US Senate","Statewide","gen","FALSE","Dennis F. Bradley","veterans party of america","FALSE",166642,7429894,"20171011"
2014,"Georgia","GA","13",58,44,"US Senate","statewide","gen","FALSE","David A. Perdue","republican","FALSE",1358088,2567805,"20171011"
2004,"Georgia","GA","13",58,44,"US Senate","Statewide","gen","FALSE","Matthew Jamison","","TRUE",7,3220981,"20171011"
2014,"Georgia","GA","13",58,44,"US Senate","statewide","gen","FALSE","Mary H. Schroder","","TRUE",14,2567805,"20171011"
1992,"Georgia","GA","13",58,44,"US Senate","Statewide","pre","FALSE","","","TRUE",11,2251587,"20171011"
2002,"Georgia","GA","13",58,44,"US Senate","statewide","gen","FALSE","Saxby Chambliss","republican","FALSE",1071352,2031604,"20171011"
1998,"Georgia","GA","13",58,44,"US Senate","Statewide","gen","FALSE","Bertil Armin Loftman","libertarian","FALSE",43467,1753953,"20171011"
1978,"Georgia","GA","13",58,44,"US Senate","statewide","gen","FALSE","John W. Stokes","republican","FALSE",108808,645128,"20171011"
1980,"Georgia","GA","13",58,44,"US Senate","statewide","gen","FALSE","Herman E. Talmadge","democrat","FALSE",776143,1579829,"20171011"
2010,"Georgia","GA","13",58,44,"US Senate","Statewide","gen","FALSE","Raymond Beckworth","","TRUE",24,2555258,"20171011"
2008,"Georgia","GA","13",58,44,"US Senate","statewide","pre","FALSE","Allen Buckley","libertarian","FALSE",127923,3752485,"20171011"
1986,"Georgia","GA","13",58,44,"US Senate","statewide","gen","FALSE","Mack Mattingly","republican","FALSE",601241,1225008,"20171011"
1986,"Georgia","GA","13",58,44,"US Senate","statewide","gen","FALSE","","","TRUE",60,1225008,"20171011"
2014,"Georgia","GA","13",58,44,"US Senate","statewide","gen","FALSE","M. Michelle Nunn","democrat","FALSE",1160811,2567805,"20171011"
2008,"Georgia","GA","13",58,44,"US Senate","statewide","gen","FALSE","Saxby Chambliss","republican","FALSE",1228033,2137956,"20171011"
2000,"Georgia","GA","13",58,44,"US Senate","statewide","gen","TRUE","Mack F. Mattingly","republican (not identified on ballot)","FALSE",920478,2415743,"20171011"
2010,"Georgia","GA","13",58,44,"US Senate","Statewide","gen","FALSE","Michael ""Mike"" Thurmond","democrat","FALSE",996516,2555258,"20171011"
1996,"Georgia","GA","13",58,44,"US Senate","statewide","gen","FALSE","Guy W. Millner","republican","FALSE",1073969,2259224,"20171011"
2008,"Georgia","GA","13",58,44,"US Senate","statewide","gen","FALSE","Jim Martin","democrat","FALSE",909923,2137956,"20171011"
2008,"Georgia","GA","13",58,44,"US Senate","statewide","pre","FALSE","Jim Martin","democrat","FALSE",1757393,3752485,"20171011"
2008,"Georgia","GA","13",58,44,"US Senate","statewide","pre","FALSE","William Salomone Jr.","","TRUE",29,3752485,"20171011"
2000,"Georgia","GA","13",58,44,"US Senate","statewide","gen","TRUE","Paul Robert MacGregor","not identified","FALSE",25942,2415743,"20171011"
2014,"Georgia","GA","13",58,44,"US Senate","statewide","gen","FALSE","Brian Russell Brown","","TRUE",9,2567805,"20171011"
2016,"Georgia","GA","13",58,44,"US Senate","statewide","gen","FALSE","Michelle Gates","","TRUE",813,3898605,"20171011"
1990,"Georgia","GA","13",58,44,"US Senate","statewide","gen","FALSE","Sam Nunn","democrat","FALSE",1033439,1033439,"20171011"
1984,"Georgia","GA","13",58,44,"US Senate","statewide","gen","FALSE","Mike Hicks","republican","FALSE",337196,1681344,"20171011"
1998,"Georgia","GA","13",58,44,"US Senate","Statewide","gen","FALSE","Michael J. Coles","democrat","FALSE",791904,1753953,"20171011"
1998,"Georgia","GA","13",58,44,"US Senate","Statewide","gen","FALSE","","","TRUE",42,1753953,"20171011"
2000,"Georgia","GA","13",58,44,"US Senate","statewide","gen","TRUE","Ben Ballenger","not identified","FALSE",22975,2415743,"20171011"
1998,"Georgia","GA","13",58,44,"US Senate","Statewide","gen","FALSE","Paul Coverdell","republican","FALSE",918540,1753953,"20171011"
2000,"Georgia","GA","13",58,44,"US Senate","statewide","gen","TRUE","Jeff Gates","not identified","FALSE",21249,2415743,"20171011"
2014,"Georgia","GA","13",58,44,"US Senate","statewide","gen","FALSE","Amanda C. Swafford","libertarian","FALSE",48862,2567805,"20171011"
2000,"Georgia","GA","13",58,44,"US Senate","statewide","gen","TRUE","Zell Miller","democrat (not identified on ballot)","FALSE",1413224,2415743,"20171011"
2002,"Georgia","GA","13",58,44,"US Senate","statewide","gen","FALSE","Max Cleland","democrat","FALSE",932422,2031604,"20171011"
1992,"Georgia","GA","13",58,44,"US Senate","Statewide","gen","FALSE","Wyche Fowler, Jr.","democrat","FALSE",618877,1253991,"20171011"
2002,"Georgia","GA","13",58,44,"US Senate","statewide","gen","FALSE","Claude ""Sandy"" Thomas","libertarian","FALSE",27830,2031604,"20171011"
1992,"Georgia","GA","13",58,44,"US Senate","Statewide","pre","FALSE","Wyche Fowler, Jr.","democrat","FALSE",1108416,2251587,"20171011"
2000,"Georgia","GA","13",58,44,"US Senate","statewide","gen","TRUE","Winnie Walsh","not identified","FALSE",11875,2415743,"20171011"
1986,"Georgia","GA","13",58,44,"US Senate","statewide","gen","FALSE","Wyche Fowler Jr.","democrat","FALSE",623707,1225008,"20171011"
2016,"Georgia","GA","13",58,44,"US Senate","statewide","gen","FALSE","Jim Barksdale","democrat","FALSE",1599726,3898605,"20171011"
2008,"Georgia","GA","13",58,44,"US Senate","statewide","pre","FALSE","Eleanor Garcia","","TRUE",43,3752485,"20171011"
1996,"Georgia","GA","13",58,44,"US Senate","statewide","gen","FALSE","Max Cleland","democrat","FALSE",1103993,2259224,"20171011"
2010,"Georgia","GA","13",58,44,"US Senate","Statewide","gen","FALSE","Steve Davis","","TRUE",52,2555258,"20171011"
2016,"Georgia","GA","13",58,44,"US Senate","statewide","gen","FALSE","Allen Buckley","libertarian","FALSE",162260,3898605,"20171011"
1980,"Georgia","GA","13",58,44,"US Senate","statewide","gen","FALSE","Mack Mattingly","republican","FALSE",803686,1579829,"20171011"
2008,"Georgia","GA","13",58,44,"US Senate","statewide","pre","FALSE","Saxby Chambliss","republican","FALSE",1867097,3752485,"20171011"
2010,"Georgia","GA","13",58,44,"US Senate","Statewide","gen","FALSE","Chuck Donovan","libertarian","FALSE",68750,2555258,"20171011"
1992,"Georgia","GA","13",58,44,"US Senate","Statewide","pre","FALSE","Paul Coverdell","republican","FALSE",1073282,2251587,"20171011"
1992,"Georgia","GA","13",58,44,"US Senate","Statewide","pre","FALSE","Jim Hudson","libertarian","FALSE",69878,2251587,"20171011"
2004,"Georgia","GA","13",58,44,"US Senate","Statewide","gen","FALSE","Johnny Isakson","republican","FALSE",1864202,3220981,"20171011"
1996,"Georgia","GA","13",58,44,"US Senate","statewide","gen","FALSE","John Gregory Cashin","libertarian","FALSE",81262,2259224,"20171011"
2004,"Georgia","GA","13",58,44,"US Senate","Statewide","gen","FALSE","","","TRUE",31,3220981,"20171011"
2010,"Georgia","GA","13",58,44,"US Senate","Statewide","gen","FALSE","Brian Russel Brown","","TRUE",12,2555258,"20171011"
2004,"Georgia","GA","13",58,44,"US Senate","Statewide","gen","FALSE","Denise L. Majette","democrat","FALSE",1287690,3220981,"20171011"
1984,"Georgia","GA","13",58,44,"US Senate","statewide","gen","FALSE","Other","","FALSE",44,1681344,"20171011"
1984,"Georgia","GA","13",58,44,"US Senate","statewide","gen","FALSE","Sam Nunn","democrat","FALSE",1344104,1681344,"20171011"
2010,"Georgia","GA","13",58,44,"US Senate","Statewide","gen","FALSE","Johnny Isakson","republican","FALSE",1489904,2555258,"20171011"
2016,"Georgia","GA","13",58,44,"US Senate","statewide","gen","FALSE","Johnny Isakson","republican","FALSE",2135806,3898605,"20171011"
2004,"Georgia","GA","13",58,44,"US Senate","Statewide","gen","FALSE","Allen Buckley","libertarian","FALSE",69051,3220981,"20171011"
1978,"Georgia","GA","13",58,44,"US Senate","statewide","gen","FALSE","Sam Nunn","democrat","FALSE",536320,645128,"20171011"
2014,"Georgia","GA","13",58,44,"US Senate","statewide","gen","FALSE","Anantha Reddy Muscu","","TRUE",21,2567805,"20171011"
1992,"Georgia","GA","13",58,44,"US Senate","Statewide","gen","FALSE","Paul Coverdell","republican","FALSE",635114,1253991,"20171011"
1982,"Hawaii","HI","15",95,82,"US Senate","statewide","gen","FALSE","Spark Matsunaga","democrat","FALSE",245386,306410,"20171011"
1976,"Hawaii","HI","15",95,82,"US Senate","statewide","gen","FALSE","Spark M. Matsunaga","democrat","FALSE",162305,302092,"20171011"
2014,"Hawaii","HI","15",95,82,"US Senate","statewide","gen","TRUE","Blank Vote","","FALSE",15777,369703,"20171011"
1994,"Hawaii","HI","15",95,82,"US Senate","statewide","gen","FALSE","Daniel K. Akaka","democrat","FALSE",256189,356902,"20171011"
1988,"Hawaii","HI","15",95,82,"US Senate","statewide","gen","FALSE","Ken Schoolland","libertarian","FALSE",8948,323876,"20171011"
1992,"Hawaii","HI","15",95,82,"US Senate","Statewide","gen","FALSE","Rick Reed","republican","FALSE",97928,363662,"20171011"
1976,"Hawaii","HI","15",95,82,"US Senate","statewide","gen","FALSE","James D. Kimmel","","FALSE",1433,302092,"20171011"
1976,"Hawaii","HI","15",95,82,"US Senate","statewide","gen","FALSE","William Quinn","republican","FALSE",122724,302092,"20171011"
1982,"Hawaii","HI","15",95,82,"US Senate","statewide","gen","FALSE","E. Floyd Bernier-Nachtwey","independent","FALSE",8953,306410,"20171011"
1982,"Hawaii","HI","15",95,82,"US Senate","statewide","gen","FALSE","Clarence J. Brown","republican","FALSE",52071,306410,"20171011"
2012,"Hawaii","HI","15",95,82,"US Senate","statewide","gen","FALSE","Over Vote","","FALSE",77,437159,"20171011"
1986,"Hawaii","HI","15",95,82,"US Senate","statewide","gen","FALSE","Frank Hutchinson","republican","FALSE",86910,328797,"20171011"
1986,"Hawaii","HI","15",95,82,"US Senate","statewide","gen","FALSE","Daniel K. Inouye","democrat","FALSE",241887,328797,"20171011"
1988,"Hawaii","HI","15",95,82,"US Senate","statewide","gen","FALSE","Spark Matsunaga","democrat","FALSE",247941,323876,"20171011"
2000,"Hawaii","HI","15",95,82,"US Senate","statewide","gen","FALSE","John Carroll","republican","FALSE",84701,345623,"20171011"
2010,"Hawaii","HI","15",95,82,"US Senate","Statewide","gen","FALSE","Cam Cavasso","republican","FALSE",79939,370583,"20171011"
2016,"Hawaii","HI","15",95,82,"US Senate","statewide","gen","FALSE","Blank Vote","","FALSE",20763,437664,"20171011"
2000,"Hawaii","HI","15",95,82,"US Senate","statewide","gen","FALSE","Lloyd Jeffrey Mallan","libertarian","FALSE",3127,345623,"20171011"
1990,"Hawaii","HI","15",95,82,"US Senate","statewide","gen","TRUE","Ken Schoolland","libertarian","FALSE",4787,349666,"20171011"
2000,"Hawaii","HI","15",95,82,"US Senate","statewide","gen","FALSE","Lauri A. Clegg","natural law","FALSE",4220,345623,"20171011"
2014,"Hawaii","HI","15",95,82,"US Senate","statewide","gen","TRUE","Cam Cavasso","republican","FALSE",98006,369703,"20171011"
1980,"Hawaii","HI","15",95,82,"US Senate","statewide","gen","FALSE","Bud Shasteen","libertarian","FALSE",10453,288006,"20171011"
1998,"Hawaii","HI","15",95,82,"US Senate","Statewide","gen","FALSE","Lloyd (Jeff) Mallan","libertarian","FALSE",11908,398124,"20171011"
1990,"Hawaii","HI","15",95,82,"US Senate","statewide","gen","TRUE","Patricia F. Saiki","republican","FALSE",155978,349666,"20171011"
1998,"Hawaii","HI","15",95,82,"US Senate","Statewide","gen","FALSE","Daniel K. Inouye","democrat","FALSE",315252,398124,"20171011"
1992,"Hawaii","HI","15",95,82,"US Senate","Statewide","gen","FALSE","Daniel K. Inouye","democrat","FALSE",208266,363662,"20171011"
2014,"Hawaii","HI","15",95,82,"US Senate","statewide","gen","TRUE","Michael Kokoski","libertarian","FALSE",8941,369703,"20171011"
2016,"Hawaii","HI","15",95,82,"US Senate","statewide","gen","FALSE","John M. ""Raghu"" Giuffre","american shopping party","FALSE",1393,437664,"20171011"
2016,"Hawaii","HI","15",95,82,"US Senate","statewide","gen","FALSE","Joy J. Allison","constitution","FALSE",9103,437664,"20171011"
1994,"Hawaii","HI","15",95,82,"US Senate","statewide","gen","FALSE","Maria M. Hustace","republican","FALSE",86320,356902,"20171011"
2016,"Hawaii","HI","15",95,82,"US Senate","statewide","gen","FALSE","Michael A. Kokoski","libertarian","FALSE",6809,437664,"20171011"
1976,"Hawaii","HI","15",95,82,"US Senate","statewide","gen","FALSE","Anthony N. Hodges","prohibition","FALSE",14226,302092,"20171011"
2004,"Hawaii","HI","15",95,82,"US Senate","Statewide","gen","FALSE","Daniel K. Inouye","democrat","FALSE",313629,415347,"20171011"
